Kod;nazwa;wykształcenie;Wartość i precyzja;Rok;wartosc;Jednostka miary;Atrybut
200000;DOLNOŚLĄSKIE;ogółem;wartość liczbowa;2023;750;tys. osób;
200000;DOLNOŚLĄSKIE;wyższe;wartość liczbowa;2023;77;tys. osób;
200000;DOLNOŚLĄSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;185;tys. osób;
200000;DOLNOŚLĄSKIE;średnie ogólnokształcące;wartość liczbowa;2023;75;tys. osób;
200000;DOLNOŚLĄSKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;194;tys. osób;
200000;DOLNOŚLĄSKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;220;tys. osób;
264000;Powiat Wrocław;ogółem;wartość liczbowa;2023;190;tys. osób;
264000;Powiat Wrocław;wyższe;wartość liczbowa;2023;48;tys. osób;
264000;Powiat Wrocław;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;56;tys. osób;
264000;Powiat Wrocław;średnie ogólnokształcące;wartość liczbowa;2023;23;tys. osób;
264000;Powiat Wrocław;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;32;tys. osób;
264000;Powiat Wrocław;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;31;tys. osób;
400000;KUJAWSKO-POMORSKIE;ogółem;wartość liczbowa;2023;494;tys. osób;
400000;KUJAWSKO-POMORSKIE;wyższe;wartość liczbowa;2023;42;tys. osób;
400000;KUJAWSKO-POMORSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;103;tys. osób;
400000;KUJAWSKO-POMORSKIE;średnie ogólnokształcące;wartość liczbowa;2023;48;tys. osób;
400000;KUJAWSKO-POMORSKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;130;tys. osób;
400000;KUJAWSKO-POMORSKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;170;tys. osób;
461000;Powiat Bydgoszcz;ogółem;wartość liczbowa;2023;115;tys. osób;
461000;Powiat Bydgoszcz;wyższe;wartość liczbowa;2023;20;tys. osób;
461000;Powiat Bydgoszcz;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;26;tys. osób;
461000;Powiat Bydgoszcz;średnie ogólnokształcące;wartość liczbowa;2023;16;tys. osób;
461000;Powiat Bydgoszcz;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;28;tys. osób;
461000;Powiat Bydgoszcz;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;25;tys. osób;
