kod;nazwa;płeć;wartość i precyzja;rok;wartosc;jednostka miary;atrybut
200000;DOLNOŚLĄSKIE;ogółem;wartość liczbowa;2023;1014;tys. osób;
200000;DOLNOŚLĄSKIE;kobiety;wartość liczbowa;2023;546;tys. osób;
200000;DOLNOŚLĄSKIE;mężczyźni;wartość liczbowa;2023;467;tys. osób;
264000;powiat Wrocław;ogółem;wartość liczbowa;2023;353;tys. osób;
264000;powiat Wrocław;kobiety;wartość liczbowa;2023;185;tys. osób;
264000;powiat Wrocław;mężczyźni;wartość liczbowa;2023;168;tys. osób;
400000;KUJAWSKO-POMORSKIE;ogółem;wartość liczbowa;2023;630;tys. osób;
400000;KUJAWSKO-POMORSKIE;kobiety;wartość liczbowa;2023;341;tys. osób;
400000;KUJAWSKO-POMORSKIE;mężczyźni;wartość liczbowa;2023;290;tys. osób;
461000;powiat Bydgoszcz;ogółem;wartość liczbowa;2023;172;tys. osób;
461000;powiat Bydgoszcz;kobiety;wartość liczbowa;2023;93;tys. osób;
461000;powiat Bydgoszcz;mężczyźni;wartość liczbowa;2023;79;tys. osób;
463000;powiat Toruń;ogółem;wartość liczbowa;2023;97;tys. osób;
463000;powiat Toruń;kobiety;wartość liczbowa;2023;54;tys. osób;
463000;powiat Toruń;mężczyźni;wartość liczbowa;2023;43;tys. osób;
600000;LUBELSKIE;ogółem;wartość liczbowa;2023;725;tys. osób;
600000;LUBELSKIE;kobiety;wartość liczbowa;2023;403;tys. osób;
600000;LUBELSKIE;mężczyźni;wartość liczbowa;2023;322;tys. osób;
663000;powiat Lublin;ogółem;wartość liczbowa;2023;155;tys. osób;
663000;powiat Lublin;kobiety;wartość liczbowa;2023;77;tys. osób;
663000;powiat Lublin;mężczyźni;wartość liczbowa;2023;79;tys. osób;
800000;LUBUSKIE;ogółem;wartość liczbowa;2023;327;tys. osób;
800000;LUBUSKIE;kobiety;wartość liczbowa;2023;187;tys. osób;
800000;LUBUSKIE;mężczyźni;wartość liczbowa;2023;141;tys. osób;
