Kod;Nazwa;Wykształcenie;Wartość i precyzja;Rok;Wartosc;Jednostka miary;Atrybut
200000;DOLNOŚLĄSKIE;ogółem;wartość liczbowa;2023;1014;tys. osób;
200000;DOLNOŚLĄSKIE;wyższe;wartość liczbowa;2023;369;tys. osób;
200000;DOLNOŚLĄSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;283;tys. osób;
200000;DOLNOŚLĄSKIE;średnie ogólnokształcące;wartość liczbowa;2023;104;tys. osób;
264000;powiat Wrocław;ogółem;wartość liczbowa;2023;353;tys. osób;
264000;powiat Wrocław;wyższe;wartość liczbowa;2023;231;tys. osób;
264000;powiat Wrocław;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;55;tys. osób;
264000;powiat Wrocław;średnie ogólnokształcące;wartość liczbowa;2023;34;tys. osób;
400000;KUJAWSKO-POMORSKIE;ogółem;wartość liczbowa;2023;630;tys. osób;
400000;KUJAWSKO-POMORSKIE;wyższe;wartość liczbowa;2023;167;tys. osób;
400000;KUJAWSKO-POMORSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;188;tys. osób;
400000;KUJAWSKO-POMORSKIE;średnie ogólnokształcące;wartość liczbowa;2023;61;tys. osób;
461000;powiat Bydgoszcz;ogółem;wartość liczbowa;2023;172;tys. osób;
461000;powiat Bydgoszcz;wyższe;wartość liczbowa;2023;87;tys. osób;
461000;powiat Bydgoszcz;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;32;tys. osób;
461000;powiat Bydgoszcz;średnie ogólnokształcące;wartość liczbowa;2023;20;tys. osób;
463000;powiat Toruń;ogółem;wartość liczbowa;2023;97;tys. osób;
463000;powiat Toruń;wyższe;wartość liczbowa;2023;57;tys. osób;
463000;powiat Toruń;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;22;tys. osób;
463000;powiat Toruń;średnie ogólnokształcące;wartość liczbowa;2023;0;tys. osób;x
600000;LUBELSKIE;ogółem;wartość liczbowa;2023;725;tys. osób;
600000;LUBELSKIE;wyższe;wartość liczbowa;2023;237;tys. osób;
600000;LUBELSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;206;tys. osób;
600000;LUBELSKIE;średnie ogólnokształcące;wartość liczbowa;2023;76;tys. osób;
663000;powiat Lublin;ogółem;wartość liczbowa;2023;155;tys. osób;
663000;powiat Lublin;wyższe;wartość liczbowa;2023;93;tys. osób;
663000;powiat Lublin;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;29;tys. osób;
663000;powiat Lublin;średnie ogólnokształcące;wartość liczbowa;2023;16;tys. osób;
800000;LUBUSKIE;ogółem;wartość liczbowa;2023;327;tys. osób;
800000;LUBUSKIE;wyższe;wartość liczbowa;2023;92;tys. osób;
800000;LUBUSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;102;tys. osób;
800000;LUBUSKIE;średnie ogólnokształcące;wartość liczbowa;2023;37;tys. osób;
861000;powiat Gorzów Wielkopolski;ogółem;wartość liczbowa;2023;54;tys. osób;
861000;powiat Gorzów Wielkopolski;wyższe;wartość liczbowa;2023;24;tys. osób;
861000;powiat Gorzów Wielkopolski;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;12;tys. osób;
861000;powiat Gorzów Wielkopolski;średnie ogólnokształcące;wartość liczbowa;2023;0;tys. osób;x
862000;powiat Zielona Góra;ogółem;wartość liczbowa;2023;69;tys. osób;
862000;powiat Zielona Góra;wyższe;wartość liczbowa;2023;36;tys. osób;
862000;powiat Zielona Góra;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;18;tys. osób;
862000;powiat Zielona Góra;średnie ogólnokształcące;wartość liczbowa;2023;0;tys. osób;x
1000000;ŁÓDZKIE;ogółem;wartość liczbowa;2023;782;tys. osób;
1000000;ŁÓDZKIE;wyższe;wartość liczbowa;2023;245;tys. osób;
1000000;ŁÓDZKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;221;tys. osób;
1000000;ŁÓDZKIE;średnie ogólnokształcące;wartość liczbowa;2023;86;tys. osób;
1061000;powiat Łódź;ogółem;wartość liczbowa;2023;315;tys. osób;
1061000;powiat Łódź;wyższe;wartość liczbowa;2023;159;tys. osób;
1061000;powiat Łódź;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;61;tys. osób;
1061000;powiat Łódź;średnie ogólnokształcące;wartość liczbowa;2023;46;tys. osób;
1200000;MAŁOPOLSKIE;ogółem;wartość liczbowa;2023;1036;tys. osób;
1200000;MAŁOPOLSKIE;wyższe;wartość liczbowa;2023;361;tys. osób;
1200000;MAŁOPOLSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;280;tys. osób;
1200000;MAŁOPOLSKIE;średnie ogólnokształcące;wartość liczbowa;2023;112;tys. osób;
1261000;powiat Kraków;ogółem;wartość liczbowa;2023;486;tys. osób;
1261000;powiat Kraków;wyższe;wartość liczbowa;2023;332;tys. osób;
1261000;powiat Kraków;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;71;tys. osób;
1261000;powiat Kraków;średnie ogólnokształcące;wartość liczbowa;2023;44;tys. osób;
1400000;MAZOWIECKIE;ogółem;wartość liczbowa;2023;1706;tys. osób;
1400000;MAZOWIECKIE;wyższe;wartość liczbowa;2023;705;tys. osób;
1400000;MAZOWIECKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;415;tys. osób;
1400000;MAZOWIECKIE;średnie ogólnokształcące;wartość liczbowa;2023;211;tys. osób;
1465000;powiat Warszawa;ogółem;wartość liczbowa;2023;1068;tys. osób;
1465000;powiat Warszawa;wyższe;wartość liczbowa;2023;751;tys. osób;
1465000;powiat Warszawa;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;155;tys. osób;
1465000;powiat Warszawa;średnie ogólnokształcące;wartość liczbowa;2023;111;tys. osób;
1600000;OPOLSKIE;ogółem;wartość liczbowa;2023;352;tys. osób;
1600000;OPOLSKIE;wyższe;wartość liczbowa;2023;98;tys. osób;
1600000;OPOLSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;104;tys. osób;
1600000;OPOLSKIE;średnie ogólnokształcące;wartość liczbowa;2023;41;tys. osób;
1661000;powiat Opole;ogółem;wartość liczbowa;2023;67;tys. osób;
1661000;powiat Opole;wyższe;wartość liczbowa;2023;39;tys. osób;
1661000;powiat Opole;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;13;tys. osób;
